burn_no.,lat,lon,date
121,34.664879,-92.907883,1/7/2020 0:00
122,35.26923,-94.05143,1/7/2020 0:00
123,33.846092,-93.627991,1/7/2020 0:00
124,33.840618,-93.628403,1/7/2020 0:00
125,35.27187,-94.054138,1/7/2020 0:00
126,35.936733,-89.713882,1/7/2020 0:00
127,35.891167,-89.779617,1/7/2020 0:00
128,35.939274,-89.710915,1/7/2020 0:00
129,35.260738,-94.046341,1/7/2020 0:00
130,35.262455,-94.043526,1/7/2020 0:00
131,34.663666,-92.911079,1/7/2020 0:00
132,34.258694,-93.193329,1/7/2020 0:00
133,34.25951,-93.195564,1/7/2020 0:00
134,33.414459,-94.732559,1/7/2020 0:00
135,33.415398,-94.72876,1/7/2020 0:00
136,34.620865,-90.684517,1/7/2020 0:00
137,32.659004,-93.348038,1/7/2020 0:00
138,32.536858,-94.208511,1/7/2020 0:00
139,34.171608,-93.959976,1/7/2020 0:00
140,34.17091,-93.959877,1/7/2020 0:00
141,32.530899,-94.210358,1/7/2020 0:00
142,32.53178,-94.206749,1/7/2020 0:00
143,32.524925,-94.21228,1/7/2020 0:00
144,32.525806,-94.208664,1/7/2020 0:00
145,33.942085,-94.295509,1/7/2020 0:00
146,32.526688,-94.20504,1/7/2020 0:00
147,33.648926,-94.136475,1/7/2020 0:00
148,32.237549,-90.600937,1/7/2020 0:00
149,34.557976,-92.227242,1/7/2020 0:00
150,32.233341,-90.59967,1/7/2020 0:00
151,34.941948,-92.3162,1/7/2020 0:00
152,34.169971,-93.966682,1/7/2020 0:00
153,34.169315,-93.966614,1/7/2020 0:00
154,34.164474,-93.964981,1/7/2020 0:00
155,34.936409,-92.320076,1/7/2020 0:00
156,34.623974,-90.690102,1/7/2020 0:00
157,35.646976,-89.93396,1/7/2020 0:00
158,33.413525,-94.736366,1/7/2020 0:00
159,33.420517,-94.730537,1/7/2020 0:00
160,33.419579,-94.734344,1/7/2020 0:00
161,32.771366,-94.173004,1/7/2020 0:00
162,32.776413,-94.174736,1/7/2020 0:00
163,32.658661,-93.346603,1/7/2020 0:00
164,32.294079,-93.448097,1/7/2020 0:00
165,32.777294,-94.171104,1/7/2020 0:00
166,34.927731,-92.317085,1/7/2020 0:00
167,34.627369,-92.117165,1/7/2020 0:00
168,34.43383,-94.887985,1/7/2020 0:00
169,34.43293,-94.891609,1/7/2020 0:00
170,34.43013,-94.902832,1/7/2020 0:00
171,34.434704,-94.884491,1/7/2020 0:00
172,34.428818,-94.886086,1/7/2020 0:00
173,35.448971,-92.794052,1/7/2020 0:00
174,35.736095,-92.505112,1/7/2020 0:00
175,36.080421,-92.568237,1/7/2020 0:00
176,36.079315,-92.573135,1/7/2020 0:00
177,36.081512,-92.56337,1/7/2020 0:00
178,36.049858,-92.191917,1/7/2020 0:00
